malware,class,_llseek,accept,access,bind,brk,capget,chmod,chown32,clock_gettime,clone,close,connect,dup,dup2,epoll_create,epoll_ctl,epoll_wait,error,execve,exit,exit_group,fchmod,fchown32,fcntl64,fdatasync,flock,fork,fstat64,fsync,ftruncate,ftruncate64,futex,getdents64,getegid32,geteuid32,getgid32,getpid,getppid,getpriority,getresgid32,getresuid32,getrlimit,getsockname,getsockopt,gettid,gettimeofday,getuid,getuid32,ioctl,lseek,lstat64,madvise,mkdir,mmap2,mount,mprotect,mremap,munmap,nanosleep,open,pipe,poll,prctl,pread,pwrite,read,readlink,recv,recvfrom,rename,restart_syscall,rmdir,rt_sigreturn,rt_sigtimedwait,sched_getparam,sched_getscheduler,sched_yield,select,setgid32,setgroups32,setpgid,setpriority,setregid32,setresgid32,setresuid32,setreuid32,setsid,setsockopt,setuid32,shutdown,sigaction,sigprocmask,sigreturn,socket,socketpair,stat64,statfs64,sync,syscall_983042,syscall_983045,tgkill,umask,uname,unlink,utimes,vfork,wait4,write,writev
Pjapps1b,Y,0,0,18,54,0,0,0,0,113061,53,285,107,59,0,0,36,14711,13,0,51,0,0,0,287,0,0,0,132,0,0,0,57915,0,0,0,0,12517,0,676,0,0,0,108,107,1534,5247,0,10932,63020,60,0,1460,0,897,0,12580,37,701,33,60,0,54,53,458,0,9773,0,756,33396,0,338,0,0,161,0,0,3,0,0,0,0,53,0,0,0,0,0,153,0,0,0,4059,0,107,0,522,0,0,5904,12,0,0,0,0,0,0,0,12669,1999
Pjapps2a,Y,89,0,2374,0,0,0,18,0,181919,120,1856,0,338,0,2,78,128433,17,0,114,0,0,0,99,0,0,0,1853,17,0,1,64208,1052,0,0,0,55246,0,2136,0,0,0,0,0,7921,6374,0,46916,25453,48,173,2069,2,820,0,20115,20,713,130,1191,2,0,117,118,0,46801,0,958,90161,41,13,0,0,79,0,0,14924,0,0,0,0,119,0,0,0,0,0,4,0,0,0,6257,0,0,0,2427,0,0,9639,23,0,0,0,34,0,0,0,49626,1168
Pjapps2b,Y,36,0,1751,0,0,0,44,0,86933,98,1363,0,251,0,1,54,46783,14,0,96,0,0,0,83,0,0,0,1407,43,0,0,57248,777,0,0,0,24964,0,1407,0,0,0,0,0,6245,5448,0,18421,20622,38,247,1476,1,581,0,18619,17,492,139,866,1,0,98,50,0,22412,0,723,36877,63,2,0,0,121,0,0,12705,0,0,0,0,99,0,0,0,0,0,2,0,0,0,5847,0,0,0,1325,0,0,9011,10,0,0,0,64,0,0,0,23876,1211
Clean1,N,0,0,1,1,0,0,0,0,32446,30,131,2,25,0,3,20,25734,26,0,24,0,0,0,25,0,0,0,3,0,0,0,13837,0,0,0,0,8976,0,408,0,0,0,2,6,332,7643,0,8626,8490,0,0,433,0,185,0,2636,5,167,34,67,4,1,29,115,4,6425,0,733,18505,0,296,0,0,615,0,0,7,4,0,0,0,32,0,0,0,0,0,9,0,0,0,791,0,2,0,3,0,0,1270,2,0,0,0,0,0,0,0,7413,2389
Clean2,N,0,0,1,0,0,0,1,0,151175,8,11,0,3,0,0,0,89188,19,0,5,0,0,0,0,0,0,0,1,0,0,0,12242,0,0,0,0,57450,0,77,0,0,0,0,0,238,270044,0,57225,5274,0,0,170,0,184,0,3383,0,18,6,5,0,0,7,11,4,4083,0,24,1524,0,197,0,0,489,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0,0,1640,1,0,0,0,0,0,0,0,4497,10
Clean3,N,0,0,18,9,0,0,2,0,51724,8,217,21,75,0,0,35,19314,29,0,5,0,0,0,44,0,0,0,68,0,0,0,89713,0,0,0,0,9685,0,345,0,0,0,21,16,608,2422,0,9066,32957,14,0,830,0,666,0,7738,4,353,71,100,0,5,5,276,337,1665,0,310,5527,0,511,0,0,666,0,0,20,0,0,0,0,76,0,0,0,0,0,72,0,0,0,3060,0,21,0,38,0,0,3860,0,0,0,0,0,0,0,0,2579,629
Clean4,N,0,0,74,3,0,0,3,0,191757,24,841,270,92,0,0,2239,25509,28,0,18,0,0,13,802,52,0,0,191,3,1,0,116513,2,0,0,0,12039,0,374,0,0,0,213,210,5049,68823,0,10186,34180,180,3,2381,16,1789,0,7813,5,701,7845,526,0,0,18,6861,14963,14036,0,654,8476,2,748,0,0,578,0,0,25,0,0,0,0,153,0,0,0,0,0,270,0,0,0,12664,0,270,0,59,0,0,51353,6,0,65,1,28,0,0,0,12454,368
Clean5,N,0,0,139,3,0,0,20,0,50646,59,4452,16,145,3,1,46,17050,39,4,55,0,0,38,342,29,0,1,250,15,1,0,77900,2,0,0,0,9466,0,171,0,0,1,13,271,2339,20025,0,8798,36165,4,15,647,1,419,0,5764,5,272,584,203,7,1,59,184,159,3140,0,3162,13696,15,504,0,0,519,0,0,23,5,0,0,0,68,0,0,0,0,0,20,0,0,0,1726,0,16,0,113,0,0,3550,20,0,190,1,18,0,0,7,4211,393
Clean6,N,24,0,2640,268,0,0,16,0,801334,1337,2271,566,113,0,23,371,400720,39,0,1321,0,0,340,3938,240,0,0,3400,15,2,0,127727,28,0,0,0,292681,0,4426,0,0,0,627,3864,12991,1646039,0,282328,79462,6,15,6707,595,5215,0,25214,62,4610,8502,4940,44,130,1336,1764,1107,26925,0,615,32164,14,322,0,0,309,0,0,570,90,0,0,0,1798,0,0,0,0,0,962,0,16,0,12669,0,570,0,2648,0,0,118969,296,0,1700,0,14,0,0,0,34999,3261
Clean7,N,0,0,1705,0,0,0,18,0,64861,68,2884,0,1098,0,39,59,21008,47,0,52,0,0,268,1986,40,0,0,1129,18,0,0,119465,0,0,0,0,17093,0,1901,0,0,0,0,0,7613,1411,0,9940,42820,1,37,1111,0,1876,0,21912,21,1713,74,585,39,0,67,785,115,4205,0,117,6321,37,105,0,0,417,0,0,34,0,0,0,0,106,0,0,0,0,0,6,0,0,0,6252,0,0,0,661,0,0,10637,12,0,1340,0,37,0,0,0,10822,1489
